,0
1060,680-6150
1061,402-3130
1062,520-1104
1063,670-9731
1064,528-0501
1065,936-8500
1066,603-2012
1067,660-4040
1068,937-3500
1069,432-0305
1070,657-9124
1071,647-3100
1072,666-0020
1073,660-2070
1074,652-0100
1075,310-1201
1076,713-0300
1077,647-6250
1078,670-2006
1079,611-8050
1080,653-2606
1081,999-4100
1082,653-0296
1083,657-9211
1084,610-2402
1085,680-5245
1086,999-7500
1087,432-0211
1088,702-0414
1089,653-3502
1090,610-5787
1091,520-1179
1092,935-3120
1093,665-0250
1094,638-1013
1095,652-5900
1096,507-0010
1097,716-2000
1098,610-1725
1099,301-5000
1100,163-0501
1101,702-1044
1102,441-6718
1103,652-0094
1104,456-2022
1105,441-0740
1106,603-2048
1107,456-2012
1108,610-1005
1109,935-4010
1110,670-2100
1111,610-9401
1112,441-5020
1113,682-6221
1114,441-6022
1115,668-4311
1116,607-3000
1117,936-4200
1118,643-8405
1119,942-1000
1120,999-9015
1121,518-1000
1122,702-1220
1123,603-1018
1124,702-7501
1125,670-4540
1126,163-0535
1127,441-0004
1128,430-0600
1129,610-2397
1130,657-9510
1131,610-2385
1132,456-2020
1133,682-1504
1134,665-0100
1135,657-7085
1136,670-7250
1137,666-0010
1138,665-0070
1139,653-3810
1140,610-0716
1141,441-0748
1142,653-0291
1143,432-5010
1144,550-3000
1145,657-9230
1146,656-0100
1147,550-5362
1148,670-1650
1149,441-7013
1150,694-0060
1151,163-0502
1152,950-3510
1153,610-9230
1154,656-5500
1155,165-0071
1156,660-0808
1157,939-8000
1158,668-3312
1159,647-6200
1160,432-0214
1161,550-6824
1162,636-5010
1163,937-4100
1164,441-5002
1165,653-6004
1166,670-9743
1167,153-1300
1168,621-6201
1169,702-0330
1170,643-1133
1171,653-0235
1172,653-8062
1173,665-0020
1174,937-4300
1175,664-0100
1176,610-5815
1177,647-1020
1178,657-9320
1179,999-0125
1180,611-5280
1181,550-3436
1182,611-5588
1183,301-4161
1184,950-5025
1185,951-2450
1186,668-3311
1187,603-6008
1188,657-9246
1189,611-3001
1190,550-4124
1191,550-4418
1192,682-1304
1193,611-5015
1194,631-2463
1195,670-9450
1196,631-0021
1197,702-0063
1198,655-6030
1199,624-0470
1200,402-4510
1201,657-5065
1202,652-0120
1203,533-0010
1204,550-3318
1205,647-6300
1206,652-6900
1207,520-4218
1208,611-5029
1209,702-0030
1210,610-9407
1211,682-2170
1212,550-4212
1213,603-2030
1214,165-0112
1215,656-3600
1216,541-0001
1217,713-3002
1218,670-2140
1219,670-0801
1220,439-0021
1221,670-1100
1222,683-6675
1223,507-9032
1224,694-0050
1225,936-4904
1226,550-5183
1227,520-2218
1228,713-3012
1229,457-1015
1230,653-8051
1231,653-8073
1232,702-0479
1233,670-9245
1234,621-6212
1235,150-2000
1236,527-0103
1237,441-0214
1238,636-9094
1239,610-9402
1240,500-1006
1241,670-5060
1242,670-5640
1243,660-2345
1244,660-1500
1245,670-2002
1246,702-1091
1247,653-3812
1248,668-1115
1249,457-1010
1250,653-8030
1251,516-0001
1252,702-0282
1253,611-5591
1254,642-0400
1255,610-6515
1256,670-9725
1257,649-0027
1258,636-1077
1259,702-1034
1260,660-0830
1261,653-6100
1262,682-6130
1263,999-7600
1264,670-8050
1265,682-6224
1266,610-0714
1267,939-4060
1268,700-9400
1269,507-1021
1270,670-5750
1271,550-4242
1272,670-1360
1273,670-9736
1274,461-2000
1275,610-0301
1276,207-0203
1277,576-1015
1278,668-7018
1279,670-9710
1280,657-5525
1281,603-2184
1282,210-0200
1283,610-6865
1284,653-0292
1285,652-2502
1286,441-0018
1287,939-6000
1288,657-9244
1289,653-0270
1290,660-0818
1291,523-1100
1292,682-1407
1293,636-3000
1294,643-5000
1295,611-5360
1296,660-4020
1297,520-4316
1298,441-3999
1299,935-5060
1300,656-1050
1301,680-5255
1302,520-2224
1303,660-1110
1304,670-7215
1305,501-2000
1306,441-0204
1307,657-9180
1308,550-5423
1309,660-2445
1310,402-3101
1311,611-3002
1312,520-4179
1313,636-1081
1314,402-3113
1315,660-3225
1316,702-0981
1317,550-6038
1318,950-3535
1319,657-8046
1320,664-0610
1321,657-9550
1322,610-2370
1323,424-5090
1324,310-5050
1325,670-0125
1326,636-5020
1327,665-0015
1328,643-0105
1329,657-9610
1330,500-3200
1331,670-1500
1332,507-9572
1333,624-0450
1334,653-3602
1335,657-9111
1336,682-3490
1337,611-4997
1338,639-4003
1339,432-4000
1340,402-1812
1341,647-1050
1342,939-2235
1343,441-6222
1344,653-4804
1345,610-6015
1346,611-4890
1347,520-4320
1348,653-0240
1349,702-1245
1350,544-1000
1351,507-9003
1352,507-9584
1353,610-5828
1354,603-6012
1355,660-1150
1356,657-9252
1357,682-6108
1358,668-8014
1359,657-5014
1360,653-8077
1361,935-3502
1362,702-0507
1363,402-1803
1364,210-0250
1365,610-6945
1366,660-1215
1367,520-2414
1368,682-1506
1369,653-2501
1370,687-1000
1371,500-3201
1372,550-6822
1373,670-3190
1374,670-9910
1375,439-0025
1376,641-1200
1377,550-2300
1378,702-0262
1379,444-1000
1380,659-7035
1381,999-3110
1382,682-6225
1383,638-1011
1384,670-7360
1385,939-4040
1386,635-1000
1387,670-3150
1388,653-8063
1389,212-1000
1390,165-0041
1391,441-5057
1392,668-5000
1393,683-6375
1394,657-4998
1395,653-3804
1396,550-3100
1397,647-2510
1398,433-1100
1399,682-7043
1400,682-1305
1401,407-0030
1402,653-1503
1403,652-0091
1404,680-5250
1405,680-5270
1406,670-7240
1407,653-0299
1408,999-5200
1409,656-5521
1410,500-9999
1411,617-0510
1412,682-6231
1413,163-0550
1414,550-3448
1415,950-3540
1416,441-4030
1417,501-3001
1418,702-0855
1419,621-6213
1420,926-2104
1421,647-6086
1422,217-1500
1423,670-9920
1424,527-0101
1425,430-0220
1426,653-8070
1427,668-2110
1428,520-3414
1429,653-8050
1430,708-1000
1431,643-4000
1432,652-3502
1433,653-0120
1434,207-2003
1435,680-4235
1436,610-1076
1437,432-0216
1438,653-2605
1439,402-3192
1440,621-5503
1441,163-0232
1442,581-1000
1443,407-0020
1444,660-2115
1445,201-1600
1446,682-1408
1447,660-2405
1448,670-9285
1449,655-5000
1450,573-2006
1451,621-6005
1452,668-7015
1453,653-0110
1454,657-9535
1455,670-3127
1456,611-5485
1457,951-5000
1458,653-8031
1459,682-2110
1460,641-6000
1461,603-2018
1462,657-1110
1463,701-0010
1464,402-3100
1465,169-0016
1466,939-2250
1467,682-1404
1468,636-5030
1469,702-0054
1470,702-0180
1471,657-9545
1472,639-3014
1473,937-8000
1474,670-0805
1475,702-0140
1476,937-6100
1477,621-4022
1478,668-1110
1479,682-3668
1480,660-0502
1481,561-1048
1482,682-2140
1483,670-1065
1484,441-0006
1485,402-4514
1486,999-0500
1487,951-5010
1488,413-1250
1489,165-0096
1490,611-3010
1491,682-6321
1492,550-5363
1493,163-0542
1494,702-0265
1495,702-0640
1496,610-1735
1497,653-1804
1498,500-3700
1499,682-6520
1500,576-1012
1501,610-1700
1502,550-3530
1503,647-5230
1504,636-5011
1505,500-3110
1506,647-6085
1507,670-7320
1508,657-9447
1509,682-6120
1510,657-9435
1511,647-0220
1512,670-1080
1513,449-1350
1514,652-9001
1515,643-8210
1516,429-1000
1517,668-1210
1518,610-6873
1519,441-0746
1520,500-2110
1521,500-3017
1522,507-9545
